index,artist,title,mood
ML1,George Michael,I Want Your Sex,Happy
ML2,Rob Zombie,Pussy Liquor,Angry
ML4,Bing Crosby,Swinging On A Star,Happy
ML5,Ludacris,Get Back,Angry
ML6,Hole,Violet,Angry
ML7,Manic Street Preachers,Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart,Angry
ML8,Emerson Hart,If You're Gonna Leave,Sad
ML9,Megadeth,Architecture of Aggression,Angry
ML10,Blondie,Heart of Glass,Happy
ML11,The Clientele,Impossible,Chill
ML12,The Tallest Man on Earth,Love Is All,Sad
ML13,Garbage,Silence Is Golden,Angry
ML14,Van Morrison,And It Stoned Me,Chill
ML15,The Proclaimers,I'm On My Way,Happy
ML16,50 Cent,My Gun Go Off,Angry
ML17,Collie Buddz,Mamacita,Happy
ML18,Avenged Sevenfold,Coming Home,Angry
ML19,Avril Lavigne,How Does It Feel,Sad
ML20,The Streets,Never Went to Church,Sad
ML21,Geto Boys,Chuckie,Angry
ML22,David Sylvian,September,Chill
ML23,Demon Hunter,The Tide Began To Rise,Sad
ML24,Lily Holbrook,Better Left Unsaid,Sad
ML25,Creed,Illusion,Angry
ML26,Egotrippi,Matkustaja,Sad
ML27,The Whitest Boy Alive,Don't Give Up,Chill
ML28,Opeth,By the Pain I See in Others,Sad
ML29,Salt The Wound,Better Than This,Angry
ML30,Iron Maiden,Aces High,Angry
ML31,Norah Jones,The Prettiest Thing,Chill
ML32,Lamb,Written,Chill
ML33,Nickleback,Rockstar,Angry
ML34,Mastodon,Megalodon,Angry
ML35,Natalie Walker,No One Else,Chill
ML36,Stephen Lynch,Country Love Song,Happy
ML37,Stereophonics,Bright Red Star,Sad
ML38,Bad Manners,Can Can,Happy
ML39,Hollywood Undead,Young,Angry
ML40,Hooverphonic,The Magnificent Tree,Chill
ML41,Working for a Nuclear Free City,Quiet Place,Chill
ML42,Bruce Springsteen,Atlantic City,Sad
ML43,Alison Moyet,Invisible,Sad
ML44,Eminem,We Made You,Happy
ML45,Polly Scattergood,I Hate The Way,Sad
ML46,Ulrich Schnauss,Wherever You Are,Chill
ML47,Tom Lehrer,We Will All Go Together When We Go,Happy
ML48,Helena Bonham Carter & Johnny Depp,Poor Thing,Sad
ML49,Megadeth,The World Needs a Hero,Angry
ML50,Morrissey,Life Is A Pigsty,Sad
ML51,Muse,Agitated,Angry
ML52,Fourplay,Fields Of Gold,Chill
ML53,Rascal Flatts,Summer Nights,Happy
ML54,JosÃ© Padilla,Adios Ayer,Chill
ML55,Emiliana Torrini,Jungle Drums,Happy
ML56,Dr. Dog,The Breeze,Chill
ML57,Girls In Hawaii,Bees & butterflies,Chill
ML58,Cradle of Filth,Dirge Inferno,Angry
ML59,Foals,Big Big Love (Fig. 2),Chill
ML60,Metallica,Welcome Home (Sanitarium),Sad
ML61,Imogen Heap,Little Bird,Chill
ML62,The Flying Burrito Brothers,Do You Know How It Feels,Sad
ML63,Grizzly Bear,Easier,Chill
ML64,Eric Church,Sinners Like Me,Chill
ML65,Bachman-Turner Overdrive,Roll On Down The Highway,Happy
ML66,ZZ Top,Gimme All Your Lovin',Happy
ML67,System of a Down,War?,Angry
ML68,Nachtmahr,Feuer Frei!,Angry
ML69,Stacey Kent,Bali Ha'i,Chill
ML70,Taylor Swift,You Belong With Me,Happy
ML71,The World/Inferno Friendship Society,Only Anarchists Are Pretty,Happy
ML72,Tiger Lou,Like my very own blood,Sad
ML73,Slayer,Spiritual Law,Angry
ML74,COLD,Stupid Girl,Angry
ML75,Grand Archives,Torn Blue Foam Couch,Chill
ML76,Ania,Turu Tu Tu...,Sad
ML77,Reel Big Fish,"New York, New York",Happy
ML78,Loverboy,Hot Girls In Love,Happy
ML79,Judas Priest,Bullet Train,Angry
ML80,The Foreshadowing,The Wandering,Sad
ML81,Erik Hassle,Hurtful,Sad
ML82,Good Charlotte,Girls & Boys,Happy
ML83,Riverside,Before,Sad
ML84,Saybia,The One For You,Sad
ML85,The Jam,Bricks And Mortar,Angry
ML86,Symphony X,The Divine Wings Of Tragedy,Sad
ML87,Nirvana,Scentless Apprentice,Angry
ML88,Deborah Harry,End Of The Run,Sad
ML89,Shania Twain,Man! I Feel Like A Woman!,Happy
ML90,BjÃ¶rn RosenstrÃ¶m,Mamma,Happy
ML91,The Ataris,The Boys Of Summer,Happy
ML92,Angie Stone,U-Haul,Chill
ML93,The Pipettes,Dirty Mind,Happy
ML94,Katie Melua,If The Lights Go Out,Chill
ML95,Steve Goodman,My Old Man,Sad
ML96,Atari Teenage Riot,Deutschland (Has Gotta Die!),Angry
ML97,U2,Sunday Bloody Sunday,Angry
ML98,Longing for Dawn,Lethal,Sad
ML99,Metallica,Metal Militia,Angry
ML100,Queen,Crazy Little Thing Called Love,Happy
ML101,Talking Heads,Psycho Killer,Angry
ML102,Matt Costa,Lilacs,Chill
ML103,Reel 2 Real,I Like to Move It,Happy
ML104,Kelly Clarkson,Already Gone,Sad
ML105,Diana Krall,You're My Thrill,Chill
ML106,Kanye West,We Don't Care,Happy
ML107,Rocky Votolato,Tennessee Train Tracks,Chill
ML108,Darren Hayes,A Conversation With God,Sad
ML109,Okkervil River,"So Come Back, I Am Waiting",Sad
ML110,Bloodhound Gang,The Bad Touch,Happy
ML111,Mudvayne,Dig,Angry
ML112,Megadeth,Recipe for Hate...Warhorse,Angry
ML113,Peter Sellers,Unchained Melody,Happy
ML114,The Replacements,Can't Hardly Wait,Sad
ML115,The Rolling Stones,Coming Down Again,Sad
ML116,MÃ³veis Coloniais de Acaju,Swing hum e meio,Happy
ML117,Dream Theater,The Enemy Inside,Angry
ML118,Dave Matthews Band,Old Dirt Hill (Bring That Beat Back),Chill
ML119,Maggie Reilly,All My Heart Can Hold,Sad
ML120,Xavier Rudd,Better People,Chill
ML121,George Jones,He Stopped Loving Her Today,Sad
ML122,CafÃ© Tacuba,Las Flores,Happy
ML123,Jack Johnson,"They Do, They Don't",Chill
ML124,Pearl Jam,Crazy Mary,Sad
ML125,Billie Holiday,Lady Sings The Blues,Sad
ML126,The Saturdays,Fall,Sad
ML127,Etta James,My Dearest Darling,Happy
ML128,Guided by Voices,Don't Stop Now,Sad
ML129,The Adicts,Chinese Takeaway,Happy
ML130,JoÃ£o Gilberto,Chega De Saudade,Chill
ML131,DJ Sammy,The Boys Of Summer,Happy
ML132,Stephen Lynch,For The Ladies,Happy
ML133,Howard Jones,Things Can Only Get Better,Happy
ML134,New Order,Crystal,Happy
ML135,DMX,We in Here,Angry
ML136,JaromÃ­r Nohavica,JeÅ¡tÄ› mi schÃ¡zÃ­Å¡,Sad
ML137,Maria Taylor,Two Of Those Too (Album Version),Chill
ML138,Atlas Sound,River Card,Chill
ML139,Tiger Lou,The Wake/Hooray Hooray,Chill
ML140,Donald Byrd,Think Twice,Chill
ML141,of Montreal,Touched Something's Hollow,Sad
ML142,Charlotte Church,Show A Little Faith,Chill
ML143,Bob Dylan,One Of Us Must Know (Sooner Or Later),Sad
ML144,Mickey & Sylvia,Love Is Strange,Happy
ML145,Sarah Blasko,The Woman By The Well,Chill
ML146,Lily Allen,Not Fair,Happy
ML147,Sade,Cherish The Day,Chill
ML148,Tanya Stephens,It's A Pity,Happy
ML149,Black Sabbath,Sabbath Bloody Sabbath,Angry
ML150,AC/DC,Flick of the Switch,Angry
ML151,Violent Femmes,It's Gonna Rain,Happy
ML152,Sepultura,Territory,Angry
ML153,Conway Twitty,That's My Job,Sad
ML154,Black Flag,Police Story,Angry
ML155,Nine Inch Nails,Every Day Is Exactly The Same,Sad
ML156,Daniel Lanois,Sometimes,Chill
ML157,The Supremes,Love Is Like An Itching In My Heart,Happy
ML158,Babyshambles,Killamangiro,Happy
ML159,Stabbing Westward,Drowning,Sad
ML160,City and Colour,Save Your Scissors,Chill
ML161,Anthrax,Among the Living,Angry
ML162,Slayer,War Zone,Angry
ML163,Cassandra Wilson,If Loving You Is Wrong,Chill
ML164,As I Lay Dying,An Ocean Between Us,Angry
ML165,Avenged Sevenfold,Nightmare,Angry
ML166,ElectroVamp,I Don't Like The Vibe In The VIP,Happy
ML167,Alice in Chains,Sludge Factory,Sad
ML168,Megadeth,Psychotron,Angry
ML169,Shakira,Un Poco De Amor,Happy
ML170,Nick Cave and the Bad Seeds,Oh My Lord,Sad
ML171,Natalie Merchant,Just Can't Last,Chill
ML172,Silversun Pickups,Booksmart Devil,Chill
ML173,The Mountain Goats,No Children,Sad
ML174,Britney Spears,If U Seek Amy,Happy
ML175,O-Zone,Dragostea Din Tei,Happy
ML176,Ozzy Osbourne,Suicide Solution,Angry
ML177,Sheb Wooley,The Purple People Eater,Happy
ML178,Enzo Jannacci,Ho Visto Un Re,Happy
ML179,Megadeth,Dread and the Fugitive Mind,Angry
ML180,Jack Johnson,Hope,Chill
ML181,Jane Monheit,More Than You Know,Chill
ML182,Rage Against the Machine,How I Could Just Kill A Man,Angry
ML183,Jimi Hendrix Experience,Fire,Angry
ML184,Marilyn Monroe,I Wanna Be Loved By You,Happy
ML185,Burial,Distant Lights,Sad
ML186,Lykke Li,Sadness Is a Blessing,Sad
ML187,Carrie Underwood,I Told You So,Sad
ML188,Scissor Sisters,Lights,Happy
ML189,Lenny Kravitz,Will You Marry Me,Happy
ML190,Queensryche,The Needle Lies,Angry
ML191,My Dying Bride,The Cry of Mankind,Sad
ML192,Miley Cyrus,7 Things,Happy
ML193,Juana Molina,Vaca que cambia de querencia,Chill
ML194,K's Choice,If You're Not Scared,Sad
ML195,Mylo,Sunworshipper,Chill
ML196,Jamie Cullum,Singin' In The Rain,Chill
ML197,Wire,I Am the Fly,Angry
ML198,Ricky Martin,Livin' La Vida Loca,Happy
ML199,Soundgarden,Limo Wreck,Sad
ML200,Sopor Aeternus & The Ensemble Of Shadows,Bitter Sweet,Sad
ML201,Blue Ã–yster Cult,Nosferatu,Angry
ML202,Five Iron Frenzy,My Evil Plan To Save The World,Happy
ML203,Violent Femmes,I Know It's True but I'm Sorry to Say,Sad
ML204,Tenacious D,Kielbasa,Happy
ML205,Saosin,Sleepers,Angry
ML206,Anthrax,Potters Field,Angry
ML207,Aimee Mann,Little Bombs,Sad
ML208,Chevelle,The Red,Angry
ML209,Jason Collett,Blue Sky,Chill
ML210,LCD Soundsystem,All My Friends (John Cale's Version),Sad
ML211,Sandy Denny,Bushes And Briars,Sad
ML212,Marcy Playground,Punk Rock Superstar,Happy
ML213,Emilie Simon,Le Vieil Amant,Chill
ML214,Pink Turns Blue,Your Master Is Calling,Sad
ML215,IVY,Clear My Head,Chill
ML216,Tom Petty And The Heartbreakers,American Girl,Happy
ML217,Etta James,A Sunday Kind Of Love,Chill
ML218,Mud,Lonely This Christmas,Sad
ML219,Queens Of The Stone Age,Everybody Knows That You Are Insane,Angry
ML220,The Gathering,These Good People,Sad
ML221,The Fratellis,Cuntry Boys & City Girls,Happy
ML222,Molotov,Puto,Happy
ML223,Victoria Beckham,I Wish,Happy
ML224,Ours,Dizzy,Sad
ML225,The Blackbyrds,Walking In Rhythm,Happy
ML226,Tori Amos,Velvet Revolution,Sad
ML227,Doors,Break on Through (To the Other Side),Angry
ML228,Megadeth,FFF,Angry
ML229,Camper Van Beethoven,Good Guys & Bad Guys,Happy
ML230,Slayer,Spirit in Black,Angry
ML231,theaudience,Keep In Touch,Chill
ML232,Belle and Sebastian,Roy Walker,Happy
ML233,Lamb of God,As the Palaces Burn,Angry
ML234,New York Dolls,Personality Crisis,Angry
ML235,Suicide Silence,Unanswered,Angry
ML236,The Dodos,It's That Time Again,Sad
ML237,Diamanda GalÃ¡s,Deliver Me From Mine Enemies,Angry
ML238,Cream,We're Going Wrong,Sad
ML239,IVY,Edge of the Ocean,Chill
ML240,The Stooges,Your Pretty Face Is Going to Hell,Angry
ML241,Eagle-Eye Cherry,Worried Eyes,Chill
ML242,Bic Runga,It's Over,Sad
ML243,Amber Pacific,Poetically Pathetic (Acoustic),Sad
ML244,Goldfrapp,Lovely 2 C U,Happy
ML245,"""Weird Al"" Yankovic",The Night Santa Went Crazy,Happy
ML246,His Name Is Alive,Are We Still Married?,Sad
ML247,Tarkan,Simarik,Happy
ML248,Juanes,Nada Valgo Sin Tu Amor,Happy
ML249,Lupe Fiasco,"Kick, Push",Chill
ML250,Kaiser Chiefs,Thank You Very Much,Happy
ML251,Throwing Muses,Counting Backwards,Angry
ML252,Meshuggah,Future Breed Machine,Angry
ML253,Young Jeezy,I Luv It,Angry
ML254,Three Days Grace,Burn,Angry
ML255,Public Enemy,Bring the Noise,Angry
ML256,Maria Mena,Monday Morning,Chill
ML257,Ice Cube,The Wrong Nigga to Fuck Wit,Angry
ML258,Alice in Chains,Am I Inside,Sad
ML259,Monkey,Sandy the River Demon,Chill
ML260,Ray Parker Jr.,Ghostbusters,Happy
ML261,Children of Bodom,Hate Me!,Angry
ML262,Detonautas Roque Clube,Olhos Certos,Sad
ML263,Pixies,Gigantic,Happy
ML264,Katatonia,Day,Sad
ML265,Destroyer,Painter in Your Pocket,Chill
ML266,De-Phazz,Belle de Jour,Chill
ML267,Dolores Keane,Never Be the Sun,Chill
ML268,Method Man,Bring the Pain,Angry
ML269,Lucinda Williams,Those Three Days,Sad
ML270,Megadeth,Moto Psycho,Angry
ML271,Delays,Touch Down,Chill
ML272,Scissor Sisters,Laura,Happy
ML273,Ida Maria,I Like You So Much Better When You're Naked,Happy
ML274,Cinema Bizarre,Lovesongs (They Kill Me),Sad
ML275,Lene Marlin,Leave My Mind,Chill
ML276,Sara Gazarek,You Got By,Chill
ML277,The Black Crowes,Walk Believer Walk,Happy
ML278,Sly & The Family Stone,Thank You (Falettinme Be Mice Elf Agin),Happy
ML279,British Sea Power,The Lonely,Sad
ML280,Chicane,Autumn Tactics,Chill
ML281,The Sisters Of Mercy,Under the Gun,Sad
ML282,Audio Bullys,Get Myself on Track,Sad
ML283,Porcupine Tree,The Sleep of No Dreaming,Sad
ML284,Jill Cunniff,Lazy Girls,Happy
ML285,Clannad,Newgrange,Chill
ML286,Franz Ferdinand,Jackie Jackson,Happy
ML287,Combichrist,The Corps Under My Bed,Sad
ML288,Richard Marx,Should've Known Better,Sad
ML289,The Cure,Want,Sad
ML290,The Lonely Island,I'm on a Boat (feat. T-Pain),Happy
ML291,Common,Faithful ,Chill
ML292,The Jacksons,This Place Hotel,Sad
ML293,Opeth,Dirge for November,Sad
ML294,Little River Band,It's A Long Way There,Chill
ML295,Rufus Wainwright,11:11,Chill
ML296,Britney Spears,Break The Ice,Happy
ML297,Electric Light Orchestra,Midnight Blue,Chill
ML298,The Housemartins,We're Not Deep,Happy
ML299,Haley Bonar,Blue Ridge Mountains,Chill
ML300,Lene Marlin,Disguise,Chill
ML301,Faithless,One Step Too Far,Chill
ML302,Ayreon,Day One: Vigil,Sad
ML303,Rainbow,Catch The Rainbow,Sad
ML304,Lucinda Williams,Greenville,Sad
ML305,Heather Nova,Heart And Shoulder,Chill
ML306,Krokus,Long Stick Goes Boom,Angry
ML307,Cake,"Mahna, Mahna",Happy
ML308,She & Him,Sweet Darlin',Happy
ML309,Rage Against the Machine,Vietnow,Angry
ML310,Powerman 5000,Action,Angry
ML311,The New Pornographers,All For Swinging You Around,Happy
ML312,Rage Against the Machine,Sleep Now In The Fire,Angry
ML313,Beatallica,And I'm Evil,Happy
ML314,Korn,Chi,Angry
ML315,Brooks & Dunn,Neon Moon,Sad
ML316,Keri Noble,A Dream About You,Chill
ML317,Aqua,Around The World,Happy
ML318,My Morning Jacket,Evil Urges,Happy
ML319,My Bloody Valentine,Nothing Much to Lose,Sad
ML320,Rage Against the Machine,Wake Up,Angry
ML321,System of a Down,Chop Suey!,Angry
ML322,Antimatter,The Freak Show,Sad
ML323,ERA,Omen Sore,Chill
ML324,Brad Paisley,When I Get Where I'm Going,Sad
ML325,Megadeth,Victory,Angry
ML326,Tindersticks,The Not Knowing,Sad
ML327,Queen,My Baby Does Me,Happy
ML328,Tim Buckley,Morning Glory,Sad
ML329,The Gathering,Black Light District,Sad
ML330,The Rolling Stones,Can You Hear The Music,Sad
ML331,Little River Band,Reminiscing,Chill
ML332,Alien Sex Fiend,Dead and Buried,Angry
ML333,Voxtrot,Sway,Sad
ML334,Foy Vance,Homebird,Chill
ML335,COLD,Rain Song,Sad
ML336,Bananarama,Cruel Summer,Happy
ML337,Nick Cave and the Bad Seeds,Still in Love,Sad
ML338,Jennifer Lopez,Papi,Happy
ML339,Sally Shapiro,Anorak Christmas,Chill
ML340,Busted,Fun Fun Fun,Happy
ML341,Slayer,Sex. Murder. Art.,Angry
ML342,Bullet For My Valentine,4 Words (To Choke Upon),Angry
ML343,JosÃ© GonzÃ¡lez,Lovestain,Chill
ML344,Corinne Bailey Rae,I Would Like To Call It Beauty,Chill
ML345,Espers,Meadow,Chill
ML346,The Clash,London Calling,Angry
ML347,MotÃ¶rhead,Orgasmatron,Angry
ML348,Norah Jones,Back To Manhattan,Sad
ML349,Molly Johnson,If You Know Love,Chill
ML350,The Tear Garden,Ophelia,Sad
ML351,Hole,Letter To God,Sad
ML352,Megadeth,Washington Is Next!,Angry
ML353,Enya,Flora's Secret,Chill
ML354,Soft Cell,Sex Dwarf,Happy
ML355,Dusty Springfield,I Only Want To Be With You,Happy
ML356,Enigma,Mea Culpa,Chill
ML357,Mae,Sun (acoustic),Chill
ML358,AC/DC,Highway to Hell,Angry
ML359,Louis Armstrong,I Still Get Jealous,Chill
ML360,Jump5,Beauty And The Beast,Happy
ML361,Espers,Flowery Noontide,Chill
ML362,The Black Keys,Your Touch,Happy
ML363,U2,Elvis Presley and America,Sad
ML364,Dixie Chicks,Without You,Sad
ML365,Scissor Sisters,Take Your Mama,Happy
ML366,Noir DÃ©sir,7 Minutes,Angry
ML367,Radiohead,Fitter Happier,Sad
ML368,Bruce Hornsby,Fields Of Gray,Chill
ML369,Counting Crows,St. Robinson In His Cadillac Dream,Chill
ML370,Novembre,Verne,Sad
ML371,Franz Ferdinand,Love and Destroy,Happy
ML372,Vanessa Carlton,Rinse,Sad
ML373,New Radicals,I Don't Wanna Die Anymore,Sad
ML374,Hot Hot Heat,This Town,Happy
ML375,Saliva,Back Into Your System,Chill
ML376,Secondhand Serenade,End,Sad
ML377,Robert Plant,In The Mood,Chill
ML378,Johnossi,Man Must Dance,Happy
ML379,Eric Clapton,Reptile,Chill
ML380,Basement Jaxx,Cish Cash ,Happy
ML381,Ace of Base,Don't Turn Around,Happy
ML382,Nerf Herder,High School,Happy
ML383,Tina Turner,Steamy Windows,Happy
ML384,Sparks,Slowboat,Sad
ML385,Idlewild,A Modern Way Of Letting Go,Angry
ML386,Anita Baker,My Funny Valentine,Chill
ML387,Dark Sanctuary,Des Illusions,Sad
ML388,Eric Church,Lightning,Sad
ML389,Enya,Less Than a Pearl,Chill
ML390,Pink Floyd,Take Up Thy Stethoscope and Walk,Angry
ML391,Tim Buckley,Dolphins,Sad
ML392,The Faint,Paranoiattack,Happy
ML393,Megadeth,Countdown to Extinction,Angry
ML394,Tanya Donelly,Keeping You,Chill
ML395,The Cure,The Figurehead,Sad
ML396,Toni Basil,Mickey,Happy
ML397,Foo Fighters,"Cheer Up, Boys (Your Make Up Is Running)",Happy
ML398,Ice Cube,Ghetto Vet,Angry
ML399,Slayer,Necrophiliac,Angry
ML400,Secret Garden,Sleepsong,Chill
ML401,Billy Talent,Prisoners of Today,Angry
ML402,Sting,Brand New Day,Happy
ML403,Slayer,Psychopathy Red,Angry
ML404,Anita Baker,You Belong To Me,Chill
ML405,Sam Sparro,Pocket,Happy
ML406,Carla Bruni,Le Ciel Dans Une Chambre,Chill
ML407,Fischerspooner,Tone Poem,Chill
ML408,Bloodhound Gang,Foxtrot Uniform Charlie Kilo,Happy
ML409,The Cure,One Hundred Years,Sad
ML410,Faunts,Gone With The Day,Chill
ML411,Kool & The Gang,Celebration,Happy
ML412,White Zombie,Super-Charger Heaven,Angry
ML413,Abba,Thank You For The Music,Happy
ML414,Silbermond,Durch die Nacht,Sad
ML415,The Cyrkle,The Visit (She Was Here),Chill
ML416,Prince,Fury,Angry
ML417,The Corrs,Baby Be Brave (album version),Chill
ML418,Magnet,Overjoyed,Chill
ML419,Marilyn Manson,A Place In The Dirt,Sad
ML420,The Rocket Summer,Skies So Blue,Happy
ML421,Pulp,The Fear,Sad
ML422,Nicky Wire,Goodbye Suicide,Sad
ML423,My Dying Bride,Gather Me Up Forever,Sad
ML424,The Unicorns,Let's Get Known,Happy
ML425,Coverdale/Page,Take Me For A Little While,Sad
ML426,Caesars,It's Not The Fall That Hurts,Happy
ML427,Newsboys,Something Beautiful,Happy
ML428,Hard 'n Phirm,Pi,Happy
ML429,Rage Against the Machine,Bulls on Parade,Angry
ML430,My Dying Bride,A Doomed Lover,Sad
ML431,Annie,Marie Cherie,Sad
ML432,Rosenstolz,Sex im Hotel,Happy
ML433,Cascada,What Do You Want From Me?,Happy
ML434,Res,Let Love,Chill
ML435,Marillion,The Invisible Man,Sad
ML436,Afghan Whigs,66,Happy
ML437,Susie Suh,Shell,Chill
ML438,Dinosaur Jr.,Not the Same,Sad
ML439,Shania Twain,I'm Gonna Getcha Good!,Happy
ML440,Stevie Wonder,Part-Time Lover,Happy
ML441,Eppu Normaali,Tahroja paperilla,Sad
ML442,Metallica,Battery,Angry
ML443,Juana Molina,Son,Chill
ML444,Laura Marling,Your Only Doll (Dora),Chill
ML445,Three Dog Night,Joy To The World,Happy
ML446,JAY-Z,I Just Wanna Love U (Give It 2 Me),Happy
ML447,Colder,To The Music,Happy
ML448,Eagles of Death Metal,English Girl,Happy
ML449,Kris Kross,Jump,Happy
ML450,Mark Dinning,Teen Angel,Sad
ML451,Starfucker,Girls Just Want To Have Fun,Happy
ML452,"""Weird Al"" Yankovic",Christmas At Ground Zero,Happy
ML453,Marius MÃ¼ller-Westernhagen,Johnny W.,Sad
ML454,The Acacia Strain,Demolishor,Angry
ML455,Skinny Puppy,Assimilate,Angry
ML456,Hope of the States,Me Ves Y Sufres,Sad
ML457,Rammstein,Nebel,Sad
ML458,The White Stripes,My Doorbell,Happy
ML459,AC/DC,Down Payment Blues,Angry
ML460,Goldfrapp,Utopia,Chill
ML461,Dead Kennedys,Your Emotions,Angry
ML462,Jim Brickman,Angel Eyes,Chill
ML463,Sarah Blasko,For You,Chill
ML464,Yelle,Je Veux Te Voir (Club-Club Version),Happy
ML465,Adema,Rip The Heart Out Of Me,Angry
ML466,The Romantics,When I Look In Your Eyes,Happy
ML467,Murderdolls,Dead in Hollywood,Angry
ML468,Devo,(I Can't Get No) Satisfaction,Angry
ML469,Exploited,Exploited Barmy Army,Angry
ML470,Midge Ure,Somebody,Sad
ML471,Qntal,Remember Me,Sad
ML472,Bob Dylan,Gotta Serve Somebody,Chill
ML473,Clawfinger,Nothing Going On,Angry
ML474,Blue Six,Sweeter Love,Chill
ML475,Spiritualized,Let It Flow,Chill
ML476,Alexisonfire,You Burn First,Angry
ML477,Ice Cube,Dirty Mack,Angry
ML478,Beastie Boys,Time for Livin',Angry
ML479,"Loney, dear",Sinister in a State of Hope,Chill
ML480,Kraak & Smaak,Squeeze Me,Happy
ML481,Violent Femmes,Kiss Off,Angry
ML482,Bernard Fanning,Shelter For My Soul,Sad
ML483,Donald Fagen,Morph The Cat,Chill
ML484,Black Flag,Depression,Angry
ML485,Electric Light Orchestra,Sweet Talkin' Woman,Happy
ML486,Vanity 6,Nasty Girl,Happy
ML487,In Flames,Swim,Happy
ML488,Tom Lehrer,I Wanna Go Back To Dixie,Happy
ML489,Jack Johnson,Constellations,Chill
ML490,Low,Bright,Sad
ML491,Stephen Lynch,Baby,Happy
ML492,Beatallica,Hey Dude,Happy
ML493,Ministry,Palestina,Angry
ML494,Marilyn Monroe,You'd Be Surprised,Happy
ML495,New Model Army,"No Mirror, No Shadow",Sad
ML496,The Cat Empire,Sly,Happy
ML497,Monkey,The Living Sea,Chill
ML498,Secret Garden,Sigma,Chill
ML499,Luther Vandross,I'd Rather,Chill
ML500,Madredeus,O Pomar Das Laranjeiras,Sad
ML501,Rocco DeLuca & The Burden,Gift,Sad
ML502,Pig Destroyer,Piss Angel,Angry
ML503,Eric Burdon,Don't Let Me Be Misunderstood,Angry
ML504,Martin Page,In The House Of Stone And Light,Chill
ML505,LCD Soundsystem,On Repeat,Happy
ML506,Fotos,Katharina,Sad
